GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.lottery.checker.exception,ForbiddenException,0,4,0,0,0,2,0,1,0,1
,com.lottery.checker.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
,com.lottery.checker.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
,com.lottery.checker.exception,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
,com.lottery.checker.exception,ConflictException,0,4,0,0,0,2,0,1,0,1
,com.lottery.checker.exception,GlobalExceptionHandler,129,7,0,0,24,2,11,2,11,2
,com.lottery.checker.service.impl,CheckerServiceImpl,26,348,3,29,2,81,6,22,3,9
,com.lottery.checker.service.impl,TicketServiceImpl,104,605,22,46,15,127,27,23,6,10
,com.lottery.checker.service.impl,SocialAuthServiceImpl.SocialUserInfo,0,12,0,0,0,1,0,1,0,1
,com.lottery.checker.service.impl,UserServiceImpl,459,420,61,36,89,104,58,26,16,17
,com.lottery.checker.service.impl,SocialAuthServiceImpl,116,615,32,52,17,140,30,21,0,8
,com.lottery.checker.service.impl,AuthServiceImpl,0,72,0,6,0,17,0,5,0,2
,com.lottery.checker.service.impl,CheckerServiceImpl.CheckResult,0,9,0,0,0,1,0,1,0,1
,com.lottery.checker.security,JwtService,60,3,0,0,23,1,5,1,5,1
,com.lottery.checker.security,JwtAuthenticationFilter,84,0,12,0,18,0,8,0,2,0
,com.lottery.checker.entity,LotteryResult,0,9,0,0,0,3,0,1,0,1
,com.lottery.checker.entity,Role,0,15,0,0,0,3,0,1,0,1
,com.lottery.checker,CheckerApplication,5,3,0,0,2,1,1,1,1,1
,com.lottery.checker.config,SecurityConfig,30,172,0,0,10,29,2,7,2,7
,com.lottery.checker.controller,AdminUserController,0,139,1,6,0,25,1,8,0,5
,com.lottery.checker.controller,UserController,0,54,0,0,0,9,0,6,0,6
,com.lottery.checker.controller,CheckerController,0,39,1,5,0,13,1,6,0,4
,com.lottery.checker.controller,PasswordController,0,32,0,0,0,7,0,3,0,3
,com.lottery.checker.controller,AdminTicketController,0,47,0,0,0,12,0,5,0,5
,com.lottery.checker.controller,AuthController,26,18,0,0,7,4,2,2,2,2
,com.lottery.checker.dto.response,HistorySessionResponse,0,21,0,0,0,3,0,1,0,1
,com.lottery.checker.dto.response,CheckTicketResponse.CheckSummary,0,9,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.response,LinkedAccountsResponse.LinkedProvider,0,9,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.response,ApiResponse,7,9,0,0,4,5,1,1,1,1
,com.lottery.checker.dto.response,CheckTicketResponse.CheckDetail,0,15,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.response,UserResponse,3,57,1,1,1,12,1,2,0,2
,com.lottery.checker.dto.response,PrizeResponse,0,12,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.response,TokenValidationResponse,0,6,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.response,AuthResponse,0,15,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.response,CheckTicketResponse,0,12,0,0,0,3,0,1,0,1
,com.lottery.checker.dto.response,PasswordRulesResponse,15,0,0,0,3,0,1,0,1,0
,com.lottery.checker.dto.response,LinkedAccountsResponse,0,21,0,0,0,3,0,1,0,1
,com.lottery.checker.dto.response,TicketResponse,0,62,0,0,0,13,0,3,0,3
,com.lottery.checker.dto.response,HistorySessionResponse.HistoryTicketResponse,0,24,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.request,RegisterRequest,0,15,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.request,CreateTicketRequest,0,18,0,0,0,3,0,1,0,1
,com.lottery.checker.dto.request,ResetPasswordRequest,0,9,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.request,UpdateTicketStatusRequest,0,6,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.request,ChangePasswordRequest,0,9,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.request,LoginRequest,0,9,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.request,UpdateStatusRequest,0,12,0,0,0,3,0,1,0,1
,com.lottery.checker.dto.request,CheckTicketsRequest,0,15,0,0,0,3,0,1,0,1
,com.lottery.checker.dto.request,ForgotPasswordRequest,0,6,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.request,UpdateMeRequest,0,9,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.request,SocialLoginRequest,0,9,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.request,LinkSocialAccountRequest,0,9,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.request,PrizeRequest,0,12,0,0,0,1,0,1,0,1
,com.lottery.checker.dto.request,SendEmailRequest,0,15,0,0,0,3,0,1,0,1
,com.lottery.checker.dto.request,UpdateUserRequest,0,15,0,0,0,1,0,1,0,1
,com.lottery.checker.service,UserCodeGenerator,38,0,2,0,7,0,2,0,1,0
,com.lottery.checker.service,UserExportService,7,294,2,26,2,38,2,17,0,5
,com.lottery.checker.validation,PasswordValidator,112,6,24,0,38,3,13,1,1,1
,com.lottery.checker.validation,PasswordRulesHolder,17,48,3,3,4,13,7,4,4,4
